record_id,company,product,category,region,year,quarter,units_sold,unit_price,revenue,cost,profit,customer_rating,inventory
1,Tata Motors,Nexon EV,SUV,Maharashtra,2024,Q1,542,1850000,1002700000,812000000,190700000,4.7,68
2,MG Motor,Comet EV,Hatchback,Karnataka,2024,Q1,389,820000,318980000,261000000,57980000,4.5,42
3,Mahindra,XUV400,SUV,Tamil Nadu,2024,Q1,274,1690000,463060000,381000000,82060000,4.4,31
4,BYD,Atto 3,SUV,Delhi,2024,Q1,198,3400000,673200000,570000000,103200000,4.8,18
5,Tata Motors,Tiago EV,Hatchback,Gujarat,2024,Q2,621,950000,589950000,472000000,117950000,4.6,74
6,Hyundai,Kona Electric,SUV,Kerala,2024,Q2,183,2450000,448350000,367000000,81350000,4.5,21
7,Citroen,eC3,Hatchback,West Bengal,2024,Q2,241,1180000,284380000,226000000,58380000,4.3,35
8,BMW,i4,Sedan,Maharashtra,2024,Q3,76,7250000,551000000,461000000,90000000,4.9,9
9,Mercedes,EQA,SUV,Karnataka,2024,Q3,54,6700000,361800000,301000000,60800000,4.8,6
10,Kia,EV6,SUV,Telangana,2024,Q4,91,6095000,554645000,461000000,93645000,4.7,12
